요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명
가은약국,81,약국,310000,경기,311902,고양일산서구
농협마트약국,81,약국,360000,전남,360700,광양시
건강약국,81,약국,310000,경기,310403,성남분당구
대곶온누리약국,81,약국,310000,경기,312300,김포시
오렌지약국,81,약국,220000,인천,220005,인천서구
엠스퀘어약국,81,약국,230000,대구,230100,대구달성군
예담약국,81,약국,360000,전남,360500,여수시
실로암약국,81,약국,250000,대전,250003,대전서구
탑프라자약국,81,약국,220000,인천,220006,인천남동구
메디팜큰사랑약국,81,약국,220000,인천,220003,인천부평구
베네시티약국,81,약국,110000,서울,110002,강동구
동아사약국,81,약국,210000,부산,210002,부산동구
율량열린약국,81,약국,330000,충북,330103,청주청원구
하늘약국,81,약국,410000,세종시,410000,세종시
장계백제약국,81,약국,350000,전북,350011,장수군
메디팜서정약국,81,약국,240000,광주,240003,광주서구
하나로약국,81,약국,370000,경북,370300,김천시
햇살약국,81,약국,210000,부산,210011,부산금정구
메디팜자연약국,81,약국,210000,부산,210003,부산동래구
